dataset,split_mode,model,seed,bucket,bin_id,n_bin,conf_bin,acc_bin,gap_bin
junyi,temporal,dkt,42,medium,1,2159,0.10129415195550888,0.539138490041686,0.4378443380861771
junyi,temporal,dkt,42,medium,2,2639,0.1670380323876843,0.53315649867374,0.3661184662860557
junyi,temporal,dkt,42,medium,3,3447,0.2344664114954024,0.5311865390194372,0.29672012752403487
junyi,temporal,dkt,42,medium,4,4110,0.3006767636087979,0.540632603406326,0.2399558397975281
junyi,temporal,dkt,42,medium,5,4931,0.3678787675996118,0.5288988034881362,0.16102003588852443
junyi,temporal,dkt,42,medium,6,6140,0.43450765645659317,0.5464169381107492,0.11190928165415603
junyi,temporal,dkt,42,medium,7,8865,0.5012069004777455,0.5463056965595037,0.04509879608175815
junyi,temporal,dkt,42,medium,8,9151,0.5676129329218889,0.5459512621571413,0.021661670764747565
junyi,temporal,dkt,42,medium,9,10538,0.6339038617189208,0.5403302334408806,0.09357362827804017
junyi,temporal,dkt,42,medium,10,12682,0.7007887038949949,0.5484939284024601,0.15229477549253478
junyi,temporal,dkt,42,medium,11,15611,0.7677831155448497,0.5430145410287618,0.2247685745160879
junyi,temporal,dkt,42,medium,12,18911,0.8347256895910962,0.5478293056950981,0.28689638389599803
junyi,temporal,dkt,42,medium,13,23959,0.9014656728697896,0.5493134104094495,0.35215226246034015
junyi,temporal,dkt,42,medium,14,26497,0.9657256609831962,0.5497226101068046,0.41600305087639167
junyi,temporal,dkt,42,sparse,0,186,0.03194744678643548,0.7311827956989247,0.6992353489124893
junyi,temporal,dkt,42,sparse,1,190,0.10261254314529264,0.7,0.5973874568547073
junyi,temporal,dkt,42,sparse,2,275,0.1664416697350415,0.6218181818181818,0.45537651208314034
junyi,temporal,dkt,42,sparse,3,341,0.2352409898535597,0.624633431085044,0.3893924412314843
junyi,temporal,dkt,42,sparse,4,384,0.30051176630270976,0.6770833333333334,0.3765715670306236
junyi,temporal,dkt,42,sparse,5,519,0.36788277365339056,0.6242774566473989,0.2563946829940083
junyi,temporal,dkt,42,sparse,6,660,0.4340594441150174,0.6181818181818182,0.18412237406680076
junyi,temporal,dkt,42,sparse,7,975,0.5005791702637306,0.64,0.13942082973626946
junyi,temporal,dkt,42,sparse,8,916,0.566927306711934,0.6375545851528385,0.07062727844090444
junyi,temporal,dkt,42,sparse,9,1042,0.6335503607130325,0.6094049904030711,0.024145370309961445
junyi,temporal,dkt,42,sparse,10,1355,0.7004684676983259,0.6509225092250922,0.04954595847323373
junyi,temporal,dkt,42,sparse,11,1670,0.7678572799631221,0.6287425149700598,0.1391147649930623
junyi,temporal,dkt,42,sparse,12,2078,0.8343061065306677,0.6761308950914341,0.15817521143923363
junyi,temporal,dkt,42,sparse,13,2693,0.9012348634622108,0.6308949127367248,0.270339950725486
